System Uptime[ms] 53114,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 13.96,Airdata AoA[deg] -1.93,Airdata AoS[deg] -11.73,Airdata VCAS[m/s] 2.08,Airdata VTAS[m/s] 2.09,BMP280_0 P[Pa] 100202.67, BMP280_0 Tpackage[C] 22.26, HTU21DF_0 RH[%] 79.01, HTU21DF_0 Tpackage[C] 20.89, D6F-PH0025AD1_0 q[Pa] 2.45, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.08, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 47, ;
System Uptime[ms] 58248,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.11,Airdata AoA[deg] -30.02,Airdata AoS[deg] -36.21,Airdata VCAS[m/s] 2.82,Airdata VTAS[m/s] 2.83,BMP280_0 P[Pa] 100208.28, BMP280_0 Tpackage[C] 22.41, HTU21DF_0 RH[%] 75.25, HTU21DF_0 Tpackage[C] 21.02, D6F-PH0025AD1_0 q[Pa] 2.85, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 0.74, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 4.20, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 53, ;
System Uptime[ms] 58705,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.12,Airdata AoA[deg] -10.58,Airdata AoS[deg] -26.30,Airdata VCAS[m/s] 2.49,Airdata VTAS[m/s] 2.51,BMP280_0 P[Pa] 100209.45, BMP280_0 Tpackage[C] 22.42, HTU21DF_0 RH[%] 73.86, HTU21DF_0 Tpackage[C] 21.02, D6F-PH0025AD1_0 q[Pa] 3.16, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 1.31, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 4.25, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 53, ;
System Uptime[ms] 59162,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.13,Airdata AoA[deg] 8.86,Airdata AoS[deg] -16.95,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.50,BMP280_0 P[Pa] 100208.29, BMP280_0 Tpackage[C] 22.43, HTU21DF_0 RH[%] 73.10, HTU21DF_0 Tpackage[C] 21.03, D6F-PH0025AD1_0 q[Pa] 3.52, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 2.09, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 5.02, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 53, ;
System Uptime[ms] 59619,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.13,Airdata AoA[deg] -9.91,Airdata AoS[deg] -25.51,Airdata VCAS[m/s] 2.59,Airdata VTAS[m/s] 2.61,BMP280_0 P[Pa] 100207.55, BMP280_0 Tpackage[C] 22.43, HTU21DF_0 RH[%] 72.33, HTU21DF_0 Tpackage[C] 21.05, D6F-PH0025AD1_0 q[Pa] 3.11, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.52, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 4.57, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382959843, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 54, ;
System Uptime[ms] 60076,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.14,Airdata AoA[deg] -3.50,Airdata AoS[deg] -28.06,Airdata VCAS[m/s] 2.55,Airdata VTAS[m/s] 2.56,BMP280_0 P[Pa] 100208.98, BMP280_0 Tpackage[C] 22.44, HTU21DF_0 RH[%] 71.77, HTU21DF_0 Tpackage[C] 21.08, D6F-PH0025AD1_0 q[Pa] 2.85, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 1.42, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 4.92, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382959843, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 54, ;
System Uptime[ms] 60558,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.14,Airdata AoA[deg] 16.89,Airdata AoS[deg] -17.61,Airdata VCAS[m/s] 2.53,Airdata VTAS[m/s] 2.54,BMP280_0 P[Pa] 100209.56, BMP280_0 Tpackage[C] 22.44, HTU21DF_0 RH[%] 71.34, HTU21DF_0 Tpackage[C] 21.08, D6F-PH0025AD1_0 q[Pa] 3.11, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 2.20, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 5.49, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382959843, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 55, ;
System Uptime[ms] 61015,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.16,Airdata AoA[deg] 0.40,Airdata AoS[deg] -11.08,Airdata VCAS[m/s] 2.30,Airdata VTAS[m/s] 2.31,BMP280_0 P[Pa] 100208.98, BMP280_0 Tpackage[C] 22.46, HTU21DF_0 RH[%] 71.03, HTU21DF_0 Tpackage[C] 21.09, D6F-PH0025AD1_0 q[Pa] 2.50, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 2.30, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.59, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382959843, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 55, ;
System Uptime[ms] 61472,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.17,Airdata AoA[deg] -10.78,Airdata AoS[deg] -11.31,Airdata VCAS[m/s] 2.15,Airdata VTAS[m/s] 2.16,BMP280_0 P[Pa] 100208.12, BMP280_0 Tpackage[C] 22.47, HTU21DF_0 RH[%] 70.59, HTU21DF_0 Tpackage[C] 21.13, D6F-PH0025AD1_0 q[Pa] 2.29, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.73, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 2.46, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382958651, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 56, ;
System Uptime[ms] 61929,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.18,Airdata AoA[deg] -6.87,Airdata AoS[deg] -22.00,Airdata VCAS[m/s] 2.05,Airdata VTAS[m/s] 2.07,BMP280_0 P[Pa] 100208.38, BMP280_0 Tpackage[C] 22.48, HTU21DF_0 RH[%] 70.34, HTU21DF_0 Tpackage[C] 21.14, D6F-PH0025AD1_0 q[Pa] 1.73, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 0.85, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.13, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382958651, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 56, ;
System Uptime[ms] 62386,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.18,Airdata AoA[deg] -4.36,Airdata AoS[deg] -14.75,Airdata VCAS[m/s] 1.90,Airdata VTAS[m/s] 1.91,BMP280_0 P[Pa] 100208.54, BMP280_0 Tpackage[C] 22.48, HTU21DF_0 RH[%] 69.64, HTU21DF_0 Tpackage[C] 21.14, D6F-PH0025AD1_0 q[Pa] 1.88, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 1.11, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.51, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382956266, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 57, ;
System Uptime[ms] 62868,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.20,Airdata AoA[deg] 12.71,Airdata AoS[deg] -10.34,Airdata VCAS[m/s] 1.94,Airdata VTAS[m/s] 1.95,BMP280_0 P[Pa] 100211.34, BMP280_0 Tpackage[C] 22.50, HTU21DF_0 RH[%] 69.24, HTU21DF_0 Tpackage[C] 21.16, D6F-PH0025AD1_0 q[Pa] 2.24, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 1.42, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 3.44, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382956266, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 57, ;
